compound: -0.2425, neg: 0.055, neu: 0.892, pos: 0.052, 
compound: -0.8511, neg: 0.109, neu: 0.808, pos: 0.084, 
compound: -0.6374, neg: 0.062, neu: 0.887, pos: 0.051, 
compound: 0.9778, neg: 0.106, neu: 0.724, pos: 0.17, 
compound: 0.4939, neg: 0.059, neu: 0.873, pos: 0.068, 
compound: 0.986, neg: 0.007, neu: 0.864, pos: 0.128, 
compound: 0.9933, neg: 0.018, neu: 0.859, pos: 0.122, 
compound: -0.2106, neg: 0.081, neu: 0.835, pos: 0.084, 
compound: 0.9451, neg: 0.017, neu: 0.889, pos: 0.094, 
compound: -0.743, neg: 0.076, neu: 0.87, pos: 0.054, 
compound: 0.992, neg: 0.0, neu: 0.893, pos: 0.107, 
compound: 0.9952, neg: 0.022, neu: 0.801, pos: 0.177, 
compound: -0.9106, neg: 0.068, neu: 0.894, pos: 0.037, 
compound: 0.9851, neg: 0.023, neu: 0.856, pos: 0.121, 
compound: 0.9574, neg: 0.053, neu: 0.858, pos: 0.09, 
compound: 0.967, neg: 0.024, neu: 0.854, pos: 0.122, 
compound: 0.9028, neg: 0.087, neu: 0.781, pos: 0.131, 
compound: 0.9565, neg: 0.012, neu: 0.913, pos: 0.074, 
compound: 0.9854, neg: 0.027, neu: 0.839, pos: 0.134, 
compound: 0.7027, neg: 0.068, neu: 0.843, pos: 0.088, 
compound: 0.9432, neg: 0.017, neu: 0.907, pos: 0.076, 
compound: 0.9932, neg: 0.027, neu: 0.85, pos: 0.123, 
compound: 0.9246, neg: 0.103, neu: 0.74, pos: 0.158, 
compound: 0.967, neg: 0.029, neu: 0.864, pos: 0.107, 
compound: 0.959, neg: 0.024, neu: 0.855, pos: 0.121, 
compound: -0.9785, neg: 0.169, neu: 0.767, pos: 0.064, 
compound: 0.9921, neg: 0.026, neu: 0.849, pos: 0.125, 
compound: -0.6791, neg: 0.075, neu: 0.868, pos: 0.057, 
compound: 0.9595, neg: 0.024, neu: 0.882, pos: 0.094, 
compound: -0.8186, neg: 0.076, neu: 0.879, pos: 0.045, 
compound: 0.8338, neg: 0.043, neu: 0.851, pos: 0.106, 
compound: -0.8264, neg: 0.115, neu: 0.808, pos: 0.077, 
compound: -0.8777, neg: 0.063, neu: 0.921, pos: 0.016, 
compound: -0.9651, neg: 0.106, neu: 0.836, pos: 0.058, 
compound: 0.9797, neg: 0.012, neu: 0.813, pos: 0.175, 
compound: 0.1245, neg: 0.068, neu: 0.866, pos: 0.066, 
compound: 0.9381, neg: 0.011, neu: 0.875, pos: 0.114, 
compound: 0.9952, neg: 0.022, neu: 0.801, pos: 0.177, 
compound: 0.92, neg: 0.101, neu: 0.777, pos: 0.122, 
compound: 0.9972, neg: 0.066, neu: 0.767, pos: 0.167, 
compound: 0.9964, neg: 0.019, neu: 0.882, pos: 0.1, 
compound: 0.9527, neg: 0.054, neu: 0.854, pos: 0.092, 
compound: -0.9891, neg: 0.145, neu: 0.746, pos: 0.108, 
compound: -0.9946, neg: 0.162, neu: 0.803, pos: 0.035, 
compound: 0.9902, neg: 0.036, neu: 0.798, pos: 0.166, 
compound: 0.802, neg: 0.0, neu: 0.971, pos: 0.029, 
compound: 0.9235, neg: 0.062, neu: 0.849, pos: 0.089, 
compound: 0.9247, neg: 0.068, neu: 0.82, pos: 0.113, 
compound: 0.6249, neg: 0.055, neu: 0.871, pos: 0.074, 
compound: 0.9904, neg: 0.025, neu: 0.872, pos: 0.104, 
compound: 0.9597, neg: 0.097, neu: 0.747, pos: 0.156, 
compound: 0.9444, neg: 0.022, neu: 0.903, pos: 0.074, 
compound: -0.8658, neg: 0.073, neu: 0.902, pos: 0.025, 
compound: 0.5858, neg: 0.072, neu: 0.821, pos: 0.107, 
compound: 0.9925, neg: 0.038, neu: 0.813, pos: 0.149, 
compound: 0.9354, neg: 0.055, neu: 0.851, pos: 0.094, 
compound: 0.9911, neg: 0.048, neu: 0.747, pos: 0.205, 
compound: -0.9901, neg: 0.122, neu: 0.823, pos: 0.055, 
compound: -0.9982, neg: 0.156, neu: 0.801, pos: 0.042, 
compound: -0.991, neg: 0.139, neu: 0.788, pos: 0.074, 
compound: 0.8891, neg: 0.069, neu: 0.835, pos: 0.096, 
compound: 0.918, neg: 0.059, neu: 0.844, pos: 0.097, 
compound: -0.8658, neg: 0.096, neu: 0.839, pos: 0.065, 
compound: 0.8614, neg: 0.065, neu: 0.854, pos: 0.081, 
compound: 0.9423, neg: 0.0, neu: 0.9, pos: 0.1, 
compound: 0.9995, neg: 0.02, neu: 0.772, pos: 0.208, 
compound: 0.9432, neg: 0.044, neu: 0.873, pos: 0.083, 
compound: -0.8591, neg: 0.098, neu: 0.824, pos: 0.078, 
compound: 0.9862, neg: 0.027, neu: 0.867, pos: 0.107, 
compound: -0.9471, neg: 0.092, neu: 0.857, pos: 0.051, 
compound: -0.9503, neg: 0.09, neu: 0.858, pos: 0.053, 
compound: 0.9879, neg: 0.049, neu: 0.778, pos: 0.174, 
compound: -0.8805, neg: 0.088, neu: 0.853, pos: 0.059, 
compound: 0.9719, neg: 0.01, neu: 0.842, pos: 0.148, 
compound: -0.9328, neg: 0.09, neu: 0.838, pos: 0.073, 
compound: 0.9485, neg: 0.021, neu: 0.866, pos: 0.113, 
compound: 0.9645, neg: 0.013, neu: 0.919, pos: 0.068, 
compound: 0.9171, neg: 0.046, neu: 0.826, pos: 0.128, 
compound: -0.5719, neg: 0.116, neu: 0.801, pos: 0.083, 
compound: -0.9104, neg: 0.084, neu: 0.87, pos: 0.046, 
compound: 0.8934, neg: 0.117, neu: 0.706, pos: 0.178, 
compound: 0.9922, neg: 0.073, neu: 0.796, pos: 0.131, 
compound: 0.7083, neg: 0.032, neu: 0.907, pos: 0.062, 
compound: 0.6178, neg: 0.058, neu: 0.862, pos: 0.079, 
compound: -0.8668, neg: 0.077, neu: 0.856, pos: 0.067, 
compound: 0.9852, neg: 0.006, neu: 0.844, pos: 0.15, 
compound: 0.5349, neg: 0.102, neu: 0.791, pos: 0.106, 
compound: -0.9748, neg: 0.133, neu: 0.778, pos: 0.09, 
compound: -0.8065, neg: 0.111, neu: 0.793, pos: 0.096, 
compound: 0.9965, neg: 0.041, neu: 0.765, pos: 0.194, 
compound: 0.9755, neg: 0.055, neu: 0.829, pos: 0.117, 
compound: 0.9042, neg: 0.078, neu: 0.814, pos: 0.109, 
compound: 0.9631, neg: 0.064, neu: 0.816, pos: 0.12, 
compound: -0.981, neg: 0.12, neu: 0.803, pos: 0.077, 
compound: 0.959, neg: 0.04, neu: 0.85, pos: 0.111, 
compound: -0.016, neg: 0.074, neu: 0.855, pos: 0.071, 
compound: -0.9653, neg: 0.1, neu: 0.838, pos: 0.061, 
compound: -0.6908, neg: 0.086, neu: 0.863, pos: 0.051, 
compound: -0.9313, neg: 0.142, neu: 0.767, pos: 0.09, 
compound: 0.9201, neg: 0.009, neu: 0.914, pos: 0.077, 
compound: 0.886, neg: 0.078, neu: 0.812, pos: 0.11, 
compound: 0.3612, neg: 0.054, neu: 0.883, pos: 0.063, 
compound: 0.8758, neg: 0.045, neu: 0.855, pos: 0.1, 
compound: 0.9246, neg: 0.008, neu: 0.914, pos: 0.079, 
compound: 0.9902, neg: 0.034, neu: 0.845, pos: 0.121, 
compound: -0.8188, neg: 0.073, neu: 0.879, pos: 0.048, 
compound: 0.8481, neg: 0.091, neu: 0.769, pos: 0.14, 
compound: 0.9886, neg: 0.012, neu: 0.818, pos: 0.17, 
compound: -0.9916, neg: 0.204, neu: 0.757, pos: 0.039, 
compound: 0.6908, neg: 0.053, neu: 0.878, pos: 0.069, 
compound: 0.9761, neg: 0.049, neu: 0.815, pos: 0.136, 
compound: -0.9517, neg: 0.06, neu: 0.901, pos: 0.04, 
compound: 0.9828, neg: 0.0, neu: 0.874, pos: 0.126, 
compound: 0.7891, neg: 0.034, neu: 0.893, pos: 0.073, 
compound: 0.9846, neg: 0.006, neu: 0.904, pos: 0.09, 
compound: -0.9833, neg: 0.103, neu: 0.845, pos: 0.051, 
compound: -0.8377, neg: 0.047, neu: 0.93, pos: 0.022, 
compound: 0.9382, neg: 0.03, neu: 0.877, pos: 0.093, 
compound: 0.4767, neg: 0.053, neu: 0.866, pos: 0.08, 
compound: 0.9169, neg: 0.026, neu: 0.869, pos: 0.105, 
compound: -0.9721, neg: 0.077, neu: 0.897, pos: 0.026, 
compound: -0.7351, neg: 0.081, neu: 0.842, pos: 0.078, 
compound: 0.9751, neg: 0.029, neu: 0.855, pos: 0.116, 
compound: -0.9349, neg: 0.086, neu: 0.867, pos: 0.047, 
compound: 0.9887, neg: 0.033, neu: 0.81, pos: 0.157, 
compound: -0.802, neg: 0.112, neu: 0.812, pos: 0.076, 
compound: 0.8392, neg: 0.053, neu: 0.878, pos: 0.069, 
compound: 0.884, neg: 0.116, neu: 0.752, pos: 0.132, 
compound: -0.8969, neg: 0.092, neu: 0.85, pos: 0.059, 
compound: -0.9169, neg: 0.074, neu: 0.867, pos: 0.06, 
compound: -0.8658, neg: 0.096, neu: 0.839, pos: 0.065, 
compound: 0.7717, neg: 0.038, neu: 0.888, pos: 0.074, 
compound: 0.9711, neg: 0.0, neu: 0.911, pos: 0.089, 
compound: -0.9034, neg: 0.101, neu: 0.83, pos: 0.068, 
compound: -0.9842, neg: 0.143, neu: 0.812, pos: 0.046, 
compound: -0.9136, neg: 0.109, neu: 0.831, pos: 0.06, 
compound: 0.967, neg: 0.005, neu: 0.907, pos: 0.088, 
compound: 0.8402, neg: 0.015, neu: 0.938, pos: 0.047, 
compound: 0.914, neg: 0.042, neu: 0.862, pos: 0.096, 
compound: 0.9718, neg: 0.079, neu: 0.778, pos: 0.143, 
compound: 0.1531, neg: 0.054, neu: 0.888, pos: 0.058, 
compound: -0.26, neg: 0.077, neu: 0.862, pos: 0.061, 
compound: -0.9665, neg: 0.118, neu: 0.807, pos: 0.075, 
compound: -0.9987, neg: 0.173, neu: 0.787, pos: 0.039, 
compound: 0.985, neg: 0.024, neu: 0.82, pos: 0.156, 
compound: -0.9963, neg: 0.166, neu: 0.8, pos: 0.034, 
compound: -0.8614, neg: 0.109, neu: 0.804, pos: 0.087, 
compound: -0.7184, neg: 0.086, neu: 0.859, pos: 0.055, 
compound: -0.9601, neg: 0.138, neu: 0.821, pos: 0.041, 
compound: 0.0516, neg: 0.096, neu: 0.801, pos: 0.103, 
compound: -0.9709, neg: 0.099, neu: 0.826, pos: 0.076, 
compound: -0.9891, neg: 0.118, neu: 0.827, pos: 0.055, 
compound: 0.7926, neg: 0.047, neu: 0.851, pos: 0.102, 
compound: 0.9354, neg: 0.055, neu: 0.851, pos: 0.094, 
compound: -0.7684, neg: 0.108, neu: 0.812, pos: 0.08, 
compound: -0.9709, neg: 0.093, neu: 0.86, pos: 0.047, 
compound: 0.4939, neg: 0.066, neu: 0.852, pos: 0.082, 
compound: 0.9452, neg: 0.013, neu: 0.898, pos: 0.089, 
compound: 0.9938, neg: 0.0, neu: 0.805, pos: 0.195, 
compound: 0.9353, neg: 0.01, neu: 0.919, pos: 0.071, 
compound: 0.9705, neg: 0.032, neu: 0.859, pos: 0.109, 
